,GameId,index,Unnamed: 0,Joueurs,Résultat,Précision,Coups,Date,Unnamed: 6,Link,Countries_w,Countries_b
622,9a6c39d5605b3c4ab0a8b7687c6b85233c5471aa,22,1 min,sorodax  (495)  SleepyCash  (532),1  0,58.3  53,27,15 févr. 2022,,https://www.chess.com/game/live/38681746245,'Comoros','France'
623,f8966e67f8635345992f65927afa3bc463039662,23,1 min,Asisino13  (585)  sorodax  (486),1  0,86.1  73.7,40,15 févr. 2022,,https://www.chess.com/game/live/38656502461,'Spain','Comoros'
624,6851da740f2a8589b7383bae95e9e6eeee085f2e,24,3 min,sorodax  (518)  Solaghi  (536),1  0,77.3  61.2,19,14 févr. 2022,,https://www.chess.com/game/live/38615614035,'Comoros','US Virgin Islands'
625,7911d014ac0c0ee73d1e019595938e854363f9d2,25,3 min,Alfakurt01  (510)  sorodax  (509),0  1,32.2  37.6,24,14 févr. 2022,,https://www.chess.com/game/live/38588033255,'Turkey','Comoros'
626,a4f1fdf98e485fcd070088236c4d1e2dd9cd0cdd,26,5 min,sorodax  (501)  mrmeter  (488),½  ½,77.1  71.4,72,14 févr. 2022,,https://www.chess.com/game/live/38581511987,'Comoros','Switzerland'
627,34a8081eeb8c268b74d4d5bf6b54bd1ca4660bf2,27,1 min,sorodax  (492)  Dmytro_1102  (527),0  1,Analyser,31,14 févr. 2022,,https://www.chess.com/game/live/38581455383,'Comoros','Ukraine'
628,4da1205832d40ef8e0fe240043c5b41bfff82204,28,10 min,Pandoraxmas  (968)  sorodax  (948),0  1,54.1  68.9,26,13 févr. 2022,,https://www.chess.com/game/live/38525093241,'United States','Comoros'
629,8b5b8a03deb9a8545fc3d23d39e62248cf4a40d2,29,1 min,asdfghqwertyakhil  (576)  sorodax  (500),1  0,83.6  62.6,24,13 févr. 2022,,https://www.chess.com/game/live/38499824927,'India','Comoros'
630,fbd5970cfe1e61442d1a1ef75d56f35817d6e8b8,30,1 min,Manikanta83  (515)  sorodax  (507),0  1,62.2  54.4,25,13 févr. 2022,,https://www.chess.com/game/live/38497416127,'India','Comoros'
631,b3a788b7017ebc9178ae0f9cb6fc283836ff6dac,31,10 min,sorodax  (939)  ChessbegginerKid  (947),0  1,65.9  69,39,13 févr. 2022,,https://www.chess.com/game/live/38494995367,'Comoros','United States'
632,3b57b92544b3778c6379517e5ff8637222c3cfa1,32,10 min,FLeCos1  (962)  sorodax  (947),0  1,73.7  74.5,23,12 févr. 2022,,https://www.chess.com/game/live/38420152951,'Spain','Comoros'
